title,authors,year,venue,publisher,doi,official_url,peer_review_status,pdf_status,model,method,architecture,data_environment,baselines,metrics,limitations,code_url,relevance,target_repo,target_section,evidence_location
"The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games","Chao Yu; Akash Velu; Eugene Vinitsky; Jiaxuan Gao; Yu Wang; Alexandre Bayen; Yi Wu","2022","Advances in Neural Information Processing Systems 35, Datasets and Benchmarks Track","NeurIPS","","https://proceedings.neurips.cc/paper_files/paper/2022/hash/9c1535a02f0ce079433344e14d910597-Abstract-Datasets_and_Benchmarks.html","peer-reviewed","full-text-reviewed","cooperative multi-agent benchmark tasks","MAPPO and PPO implementation study","decentralized actor with centralized value function; GAE and clipped PPO updates","particle environments; SMAC; Hanabi; Google Research Football","competitive off-policy MARL methods","return and sample efficiency with implementation ablations","benchmark findings do not establish cyber-defense safety or equilibrium","https://github.com/marlbenchmark/on-policy","Supports MAPPO as a strong cooperative baseline and motivates explicit implementation diagnostics","note1-cyber-control-games","MAPPO and CTDE","Official paper pp. 1 and 5-8; supplementary material Section A"
"Scalable Constrained Policy Optimization for Safe Multi-agent Reinforcement Learning","Lijun Zhang; Lin Li; Wei Wei; Huizhong Song; Yaodong Yang; Jiye Liang","2024","Advances in Neural Information Processing Systems 37","NeurIPS","10.52202/079017-4400","https://proceedings.neurips.cc/paper_files/paper/2024/hash/fa76985f05e0a25c66528308dda33de0-Abstract-Conference.html","peer-reviewed","full-text-reviewed","constrained cooperative multi-agent tasks","Scalable MAPPO-Lagrangian","sequential local policy updates with kappa-hop interactions and local constraints","safe MARL benchmark tasks","centralized safe MARL and unconstrained variants","reward and constraint satisfaction","not a cyber-defense study; local-interaction assumptions must be checked before transfer","","Motivates separating operational budgets and safety constraints from reward shaping","note1-cyber-control-games","Safety and scaling limitations","Official paper pp. 1-3 and algorithm sections; NeurIPS abstract"
"A Review of Safe Reinforcement Learning: Methods, Theories, and Applications","Shangding Gu; Long Yang; Yali Du; Guang Chen; Florian Walter; Jun Wang; Alois Knoll","2024","IEEE Transactions on Pattern Analysis and Machine Intelligence 46(12):11216-11235","IEEE","10.1109/TPAMI.2024.3457538","https://pubmed.ncbi.nlm.nih.gov/39255180/","peer-reviewed","available-not-reviewed","safe decision processes","review and taxonomy of safe RL","not applicable - review article","multiple benchmarks and application domains","reviewed safe-RL families","safety violations; reward; sample complexity","review evidence does not turn a bounded cyber action map into a formal safety guarantee","https://github.com/chauncygu/Safe-Reinforcement-Learning-Baselines","Provides terminology for constraints, deployment safety and honest claim boundaries","note1-cyber-control-games","Safety and evaluation","Official PubMed/IEEE metadata and abstract"
"Hierarchical Multi-agent Reinforcement Learning for Cyber Network Defense","Aditya Vikram Singh; Ethan Rathbun; Emma Graham; Lisa Oakley; Simona Boboila; Alina Oprea; Peter Chin","2024","arXiv:2410.17351","arXiv","10.48550/arXiv.2410.17351","https://arxiv.org/abs/2410.17351","preprint","full-text-reviewed","partially observed enterprise cyber defense","hierarchical PPO with expert or learned master policy","PPO sub-policies for investigate, recover and traffic-control actions plus a master selector","CybORG CAGE 4 with multiple adversaries","decentralized MARL and expert policies","episodic return; clean-host ratio; recovery precision; false positives; recovery time","preprint evidence; transfer beyond the tested CybORG scenarios remains open","","Supports a distinct hierarchical baseline and interpretable cyber metrics rather than reward alone","note1-cyber-control-games","Hierarchical game and evaluation","arXiv Sections 3-5; Algorithms 1-2; Table 3; Figures 1-7"
"A method of network attack-defense game and collaborative defense decision-making based on hierarchical multi-agent reinforcement learning","Yunlong Tang; Jing Sun; Huan Wang; Junyi Deng; Liang Tong; Wenhong Xu","2024","Computers & Security 142:103871","Elsevier","10.1016/j.cose.2024.103871","https://www.sciencedirect.com/science/article/pii/S016740482400172X","peer-reviewed","requested","Stackelberg hypergame for incomplete-information cyber conflict","hierarchical MARL for coordinated defense","high-level defense strategy selection and lower-level action decisions","CybORG simulation","other cyber-defense strategies reported by the paper","coordination and defense performance","full architecture and protocol details require the legally obtained article PDF","","Provides a peer-reviewed cyber-game comparison for hierarchical action decomposition","note1-cyber-control-games","Related cyber-defense architectures","Official ScienceDirect metadata and abstract; full PDF requested"
"Causally aware reinforcement learning agents for autonomous cyber defence","Tom Purves; Konstantinos G. Kyriakopoulos; Sian Jenkins; Iain Phillips; Tim Dudman","2024","Knowledge-Based Systems 304:112521","Elsevier","10.1016/j.knosys.2024.112521","https://www.sciencedirect.com/science/article/pii/S0950705124011559","peer-reviewed","available-not-reviewed","autonomous cyber-defense scenarios","PPO with a causal reward model","modified PPO agent with causal context in reward construction","YAWNING-TITAN cyber range","model-free and neural model-based agents","blue wins; episode length; healthy and isolated nodes","causal reward evidence does not imply causal identification of the physical propagation model","","Supports reporting operational state metrics alongside return","note1-cyber-control-games","Evaluation metrics","Official open-access ScienceDirect abstract and highlights"
"Physics-informed PointNet: A deep learning solver for steady-state incompressible flows and thermal fields on multiple sets of irregular geometries","Ali Kashefi; Tapan Mukerji","2022","Journal of Computational Physics 468:111510","Elsevier","10.1016/j.jcp.2022.111510","https://www.sciencedirect.com/science/article/pii/S0021999122005721","peer-reviewed","requested","PDEs on irregular point-cloud geometries","physics-informed point-cloud learning","PointNet-style geometry encoder with PDE; boundary and sparse-data losses","multiple irregular geometries","standard single-geometry PINNs and numerical references described by the paper","field errors and generalization to unseen geometries","steady PDE geometry results do not directly validate a graph ODE inverse model","","Motivates node-feature encoders and held-out graph geometry tests without claiming architectural equivalence","note2-pinn-pidl-cyber-control","Node-time architectures","Official ScienceDirect metadata; abstract and Section 3 preview; full PDF requested"
"Optimal control of PDEs using physics-informed neural networks","Saviz Mowlavi; Saleh Nabi","2023","Journal of Computational Physics 473:111731","Elsevier","10.1016/j.jcp.2022.111731","https://www.sciencedirect.com/science/article/pii/S002199912200794X","peer-reviewed","requested","PDE-constrained optimal control","PINN control with independent rollout validation","separate state and control networks with weighted objective and PDE residual terms","Laplace; Burgers; Kuramoto-Sivashinsky; Navier-Stokes control examples","direct-adjoint-looping optimization","objective and constraint residuals under independent forward evaluation","PDE results and loss-weight search do not establish identifiability or optimality for cyber ODEs","","Supports independent rollout checks and comparison with adjoint/FBSM baselines","note2-pinn-pidl-cyber-control; network-control-differential-games","Neural control and PMP bridge","Official ScienceDirect Sections 1-4 preview; full PDF requested"
"Physics-informed neural nets for control of dynamical systems","Eric Aislan Antonelo; Eduardo Camponogara; Laio Oriel Seman; Jean Panaioti Jordanou; Eduardo Rehbein de Souza; Jomi Fred Hubner","2024","Neurocomputing 579:127419","Elsevier","10.1016/j.neucom.2024.127419","https://www.sciencedirect.com/science/article/pii/S0925231224001905","peer-reviewed","requested","controlled nonlinear ODE systems","Physics-Informed Neural Nets for Control (PINC)","network conditioned on time; initial state and control with chained short-interval predictions","Van der Pol oscillator; four-tank system; electric submersible pump","numerical simulation and control-model alternatives","prediction error and control performance","autoregressive interval chaining can accumulate error and requires independent long-horizon validation","","Motivates conditioning a neural dynamics model on initial state and control rather than training one trajectory only","note2-pinn-pidl-cyber-control","Control-conditioned surrogate extension","Official ScienceDirect metadata and Sections 1-4 preview; full PDF requested"
"LyZNet with Control: Physics-Informed Neural Network Control of Nonlinear Systems with Formal Guarantees","Jun Liu; Yiming Meng; Ruikun Zhou","2024","IFAC-PapersOnLine 58(11):201-206","Elsevier/IFAC","10.1016/j.ifacol.2024.07.448","https://www.sciencedirect.com/science/article/pii/S2405896324005470","peer-reviewed","available-not-reviewed","control-affine nonlinear systems","PINN policy iteration with formal verification","physics-informed HJB policy iteration coupled to Lyapunov verification","classical nonlinear-control example","unverified learned controller and prior LyZNet workflow","performance and verified region of attraction","formal guarantees depend on the verifier and assumptions; residual minimization alone is insufficient","https://git.uwaterloo.ca/hybrid-systems-lab/lyznet","Supports separating training residuals from independent verification claims","note2-pinn-pidl-cyber-control","Validation and identifiability","Official ScienceDirect metadata and abstract"
